truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.931897	0.906584	0.920755	0.892	0.823607	0.856483	0.816254	0.819719	0.790447	0.794644	0.736076	0.758074
0.975115	0.979501	0.970823	0.975964	0.876275	0.945698	0.720039	0.709131	0.685918	0.674438	0.612189	0.65484
0.955389	0.966425	0.947876	0.96072	0.906072	0.9063	0.797615	0.757089	0.769926	0.725901	0.728675	0.688971
0.999999	0.999999	0.999999	0.999999	0.899468	0.961952	0.834318	0.826643	0.810459	0.802457	0.826173	0.757618
0.983741	0.986091	0.980907	0.98367	0.929926	0.938891	0.822071	0.780442	0.796877	0.75125	0.780723	0.711901
0.959277	0.947196	0.952386	0.938606	0.881564	0.902727	0.746102	0.708447	0.713895	0.674372	0.71022	0.645502
0.973067	0.952382	0.968433	0.944376	0.972525	0.891647	0.880482	0.85496	0.862173	0.83344	0.791619	0.800497
0.981809	0.983576	0.978646	0.980749	0.815899	0.957721	0.743044	0.743996	0.7106	0.712003	0.707433	0.652855
0.91948	0.926223	0.906511	0.914335	0.945521	0.856965	0.725008	0.70471	0.691233	0.669851	0.654728	0.630877
0.910031	0.908344	0.895712	0.893702	0.911689	0.834695	0.8497	0.826592	0.827599	0.801742	0.774316	0.770871
