truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.999999	0.999999	0.999999	0.999999	0.999999	0.855189	0.75327	0.617015	0.721799	0.577766	0.865781	0.509758
0.982918	0.931967	0.97996	0.921075	0.999998	0.765374	0.848113	0.668526	0.825943	0.632106	0.999999	0.506317
0.99953	0.999999	0.999447	0.999999	0.999999	0.908072	0.845823	0.62768	0.82339	0.589477	0.999999	0.560093
0.572864	0.731363	0.532659	0.698701	0.834115	0.458863	0.692428	0.494157	0.656733	0.454179	0.823528	0.435538
0.827043	0.826473	0.802516	0.80202	0.999999	0.591005	0.913442	0.758646	0.899681	0.727784	0.999999	0.598272
0.999999	0.999999	0.999999	0.999999	0.999999	0.878707	0.998516	0.916201	0.998255	0.902727	0.999999	0.684848
0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.611345	0.465289	0.572057	0.425322	0.888364	0.364846
0.929267	0.932372	0.917795	0.921288	0.999999	0.754953	0.649438	0.462279	0.611553	0.421918	0.916584	0.36075
0.999999	0.999999	0.999999	0.999999	0.999999	0.941731	0.864391	0.680922	0.844162	0.644526	0.999999	0.567065
0.75618	0.787331	0.724944	0.759402	0.999999	0.553202	0.79089	0.653164	0.762706	0.616205	0.999998	0.555628
