truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.993449	0.997791	0.992301	0.997404	0.999998	0.841935	0.741615	0.461191	0.709245	0.4214	0.940802	0.432276
0.999999	0.999999	0.999999	0.999999	0.999999	0.848067	0.822946	0.617193	0.79799	0.577842	0.999999	0.492654
0.939688	0.915807	0.929784	0.902543	0.999999	0.76749	0.821669	0.50817	0.796577	0.46799	0.999999	0.397078
0.617227	0.750704	0.578139	0.719036	0.999999	0.451389	0.849592	0.497359	0.827604	0.4568	0.999999	0.444728
0.810777	0.860309	0.784555	0.83967	0.999999	0.674863	0.842902	0.433981	0.820145	0.39467	0.999999	0.408163
0.983388	0.944847	0.980509	0.935816	0.999999	0.754773	0.840203	0.63812	0.817138	0.60012	0.999999	0.566828
0.999999	0.999999	0.999999	0.999999	0.999999	0.954868	0.788023	0.533472	0.759583	0.493054	0.999999	0.429126
0.808961	0.869877	0.782554	0.8506	0.999999	0.718795	0.920482	0.657538	0.907732	0.620531	0.999999	0.541488
0.999999	0.999999	0.999998	0.999998	0.999999	0.888606	0.740821	0.547458	0.708392	0.507654	0.996578	0.469887
0.999999	0.999999	0.999999	0.999999	0.999999	0.942518	0.90072	0.633008	0.885197	0.595195	0.999998	0.58052
