truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.966748	0.95562	0.961106	0.948256	0.999999	0.801377	0.817039	0.486058	0.79147	0.445951	0.999999	0.45152
0.827424	0.889821	0.802957	0.873061	0.999999	0.676928	0.727454	0.215385	0.694053	0.189482	0.974634	0.248622
0.999999	0.999999	0.999998	0.999998	0.999999	0.953278	0.80711	0.543157	0.780526	0.502643	0.999996	0.527439
0.999999	0.995616	0.999999	0.994853	0.999999	0.837604	0.641883	0.352112	0.603708	0.316242	0.802951	0.361984
0.999999	0.999999	0.999999	0.999999	0.999999	0.938485	0.658859	0.406903	0.621427	0.368696	0.922293	0.324022
0.999999	0.999999	0.999999	0.999999	0.999999	0.871195	0.728586	0.449302	0.695266	0.409627	0.97353	0.377849
0.999999	0.999999	0.999999	0.999999	0.999999	0.957826	0.850662	0.414605	0.828809	0.376761	0.999999	0.410389
0.909917	0.939804	0.895671	0.929942	0.999999	0.798772	0.781823	0.483669	0.752822	0.443341	0.999999	0.461651
0.999999	0.999999	0.999999	0.999999	0.999999	0.831681	0.82359	0.397692	0.798712	0.35992	0.999999	0.383937
0.945135	0.995942	0.936067	0.995239	0.999999	0.825695	0.812075	0.351703	0.785994	0.316039	0.999999	0.33745000000000003
