truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.911631	0.901129	0.8975	0.885586	0.840069	0.84706	0.771774	0.757175	0.741618	0.725886	0.683973	0.699774
0.999999	0.999999	0.999999	0.999999	0.999999	0.953685	0.84569	0.843072	0.823062	0.820695	0.874385	0.7606
0.978108	0.967811	0.974307	0.96236	0.889411	0.925733	0.782402	0.743172	0.7532	0.711039	0.716298	0.676535
0.893389	0.894795	0.876736	0.878647	0.864698	0.835747	0.822329	0.798736	0.79709699999999994	0.771608	0.755906	0.743013
0.979603	0.971957	0.976056	0.967153	0.907402	0.926051	0.831466	0.799886	0.807227	0.772502	0.743894	0.764566
0.965911	0.955745	0.96008	0.948277	0.867537	0.907163	0.748993	0.745515	0.71693	0.713216	0.660867	0.687394
0.941011	0.933813	0.931224	0.923062	0.929222	0.871233	0.749423	0.718132	0.717394	0.684196	0.763413	0.636905
0.932587	0.920946	0.921518	0.908284	0.819385	0.883805	0.779617	0.768944	0.750162	0.738837	0.661238	0.718197
0.985944	0.973434	0.983481	0.968948	0.94921	0.934368	0.74186	0.724504	0.70924	0.691311	0.701754	0.665489
0.993189	0.975682	0.991986	0.971475	0.76703	0.950506	0.822391	0.806055	0.797166	0.779139	0.738669	0.748188
