truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.840163	0.827428	0.816936	0.801444	0.765511	0.764724	0.822362	0.754915	0.797174	0.721685	0.7614	0.688396
0.770095	0.795912	0.73984	0.76593	0.728913	0.691903	0.776864	0.695536	0.747207	0.65716	0.706038	0.621277
0.810931	0.81918	0.784546	0.791694	0.698269	0.76084	0.811402	0.732765	0.785066	0.697001	0.746652	0.674341
0.849636	0.858171	0.827504	0.835532	0.783057	0.784962	0.756001	0.675593	0.724554	0.636167	0.688113	0.619051
0.774276	0.800021	0.744388	0.770805	0.706636	0.711523	0.80325	0.731846	0.776089	0.696448	0.757615	0.671807
0.824097	0.827131	0.799095	0.801254	0.753679	0.751145	0.788265	0.696366	0.759654	0.658984	0.72565	0.649472
0.820199	0.830157	0.794781	0.804506	0.754399	0.758556	0.779967	0.709575	0.750591	0.672888	0.763776	0.638736
0.774875	0.790156	0.74504	0.760496	0.749856	0.711676	0.775055	0.715133	0.745237	0.67917400000000006	0.711192	0.654959
0.814141	0.809282	0.788087	0.781193	0.775438	0.737295	0.77389	0.704327	0.743969	0.667138	0.71723	0.638197
0.792641	0.79525	0.764445	0.766078	0.730725	0.72441	0.824525	0.752586	0.799569	0.719479	0.782525	0.693997
