truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.937171	0.94617	0.92674	0.937193	0.899802	0.892132	0.8646	0.857765	0.844125	0.836589	0.753956	0.798572
0.999999	0.999999	0.999999	0.999999	0.960195	0.992944	0.83815	0.816769	0.814534	0.790871	0.852933	0.756582
0.886264	0.886483	0.868567	0.868978	0.832266	0.820722	0.696175	0.686077	0.66024	0.649875	0.694343	0.606584
0.914361	0.94714	0.900546	0.938396	0.853612	0.892842	0.771568	0.738653	0.741236	0.706121	0.694642	0.707615
0.964951	0.960602	0.958931	0.953914	0.916784	0.912802	0.775436	0.758899	0.745448	0.727678	0.713318	0.703429
0.975207	0.959253	0.970895	0.95237	0.900391	0.92412	0.850279	0.828294	0.828069	0.803811	0.731448	0.798519
0.92491	0.92961	0.912634	0.918109	0.866657	0.871303	0.844809	0.855415	0.821958	0.833957	0.766202	0.796027
0.997911	0.999999	0.997538	0.999999	0.86086	0.969312	0.846109	0.843608	0.82341	0.820864	0.800118	0.785273
0.999999	0.999999	0.999999	0.999999	0.885739	0.999999	0.866346	0.7989	0.846089	0.771437	0.757661	0.732623
0.999999	0.996492	0.999999	0.995877	0.923878	0.950903	0.835522	0.813658	0.811608	0.787804	0.785699	0.738201
