truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.999999	0.997811	0.999999	0.997416	0.951902	0.957295	0.767085	0.735818	0.736681	0.702313	0.657192	0.679912
0.999999	0.999418	0.999999	0.999317	0.914231	0.965839	0.890635	0.890866	0.873704	0.874321	0.833081	0.828898
0.999999	0.999999	0.999999	0.999999	0.962423	0.994336	0.752991	0.742555	0.721416	0.710275	0.764941	0.657987
0.944974	0.948496	0.93585	0.940025	0.950692	0.88827	0.692165	0.660241	0.656362	0.623193	0.602058	0.580846
0.909356	0.932856	0.894981	0.921946	0.810192	0.873818	0.765415	0.745792	0.734868	0.713813	0.730244	0.684658
0.999999	0.993788	0.999999	0.992709	0.983284	0.945345	0.6975	0.700291	0.662014	0.6654	0.614475	0.63676
0.873323	0.866666	0.85415	0.846819	0.808754	0.800299	0.771011	0.744522	0.740946	0.712526	0.73222	0.672325
0.99094	0.993852	0.989352	0.9928	0.957889	0.928951	0.797493	0.756972	0.769868	0.726524	0.760967	0.690181
0.999999	0.999999	0.999999	0.999999	0.979617	0.999999	0.815501	0.819366	0.789683	0.794292	0.797613	0.737598
0.919388	0.951456	0.90644	0.943169	0.884485	0.874766	0.727491	0.710844	0.69398	0.675487	0.726753	0.637161
