truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.935392	0.949066	0.924836	0.940708	0.86374	0.8846	0.806176	0.731069	0.779487	0.69831	0.716662	0.678457
0.95961	0.968336	0.952812	0.963006	0.900969	0.923342	0.782508	0.725837	0.753556	0.692645	0.717312	0.657408
0.999999	0.995663	0.999999	0.994916	0.892431	0.949252	0.756628	0.693563	0.725439	0.658658	0.679109	0.634273
0.958005	0.963086	0.950951	0.956908	0.915081	0.908054	0.754919	0.69892	0.723592	0.663959	0.704593	0.629269
0.948905	0.949695	0.940417	0.941409	0.900261	0.895561	0.754445	0.704745	0.72308	0.670125	0.662586	0.646189
0.94287	0.951084	0.933449	0.943054	0.853778	0.902196	0.762617	0.69393	0.731924	0.658829	0.70994	0.625449
0.977736	0.976146	0.973906	0.972085	0.934893	0.91385	0.793825	0.734949	0.765929	0.702346	0.731293	0.680601
0.952639	0.937475	0.944735	0.927335	0.838907	0.894115	0.786315	0.73834	0.757713	0.706033	0.752805	0.675747
0.899393	0.914863	0.883688	0.901396	0.861817	0.848018	0.863627	0.788304	0.843312	0.760068	0.818706	0.728345
0.984273	0.96926	0.981546	0.964093	0.899408	0.931248	0.811456	0.754205	0.7853	0.723208	0.778602	0.686624
