truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.912439	0.922665	0.898535	0.910405	0.771051	0.894779	0.790004	0.723178	0.761737	0.689918	0.72178	0.662014
0.932026	0.935288	0.920963	0.924828	0.931673	0.869225	0.843272	0.785325	0.820547	0.756924	0.803379	0.714689
0.988077	0.9803	0.985999	0.976881	0.935535	0.935319	0.765722	0.710958	0.735282	0.676237	0.71249	0.644131
0.941134	0.953265	0.931444	0.945551	0.885932	0.891897	0.81726	0.773678	0.791694	0.744273	0.790582	0.704071
0.952004	0.940152	0.943998	0.930479	0.890557	0.884775	0.829641	0.783432	0.805395	0.755028	0.762102	0.726424
0.896167	0.911112	0.88002	0.897185	0.805826	0.85253	0.807828	0.762441	0.781296	0.732068	0.79473799999999994	0.686417
0.932807	0.938113	0.921861	0.928001	0.903573	0.88063	0.822273	0.779392	0.797234	0.750251	0.71999	0.742493
0.907847	0.922625	0.8933	0.910224	0.866982	0.853581	0.801113	0.767617	0.773914	0.737442	0.746674	0.702064
0.990324	0.983976	0.988633	0.981219	0.938714	0.93539	0.74029	0.707058	0.707806	0.672515	0.696803	0.64677
0.951615	0.960084	0.943547	0.953386	0.857339	0.919583	0.78206	0.719681	0.753057	0.685847	0.732522	0.661969
