truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.585778	0.726071	0.54585	0.692791	0.999999	0.513167	0.744751	0.478018	0.71263	0.437933	0.999999	0.447911
0.92856	0.985687	0.916991	0.983188	0.999999	0.787997	0.797342	0.374097	0.769793	0.336678	0.999999	0.346542
0.905375	0.933855	0.890496	0.923107	0.999999	0.773799	0.703272	0.430154	0.668254	0.390939	0.906132	0.378054
0.999999	0.999999	0.999999	0.999999	0.999999	0.913608	0.768377	0.442203	0.738184	0.402818	0.999999	0.37941
0.899755	0.907701	0.884104	0.893352	0.999999	0.684183	0.824052	0.511104	0.79922	0.471035	0.999999	0.459722
0.999999	0.986541	0.999999	0.984205	0.999999	0.872622	0.885949	0.60956	0.868458	0.570287	0.999999	0.530795
0.999999	0.999999	0.999999	0.999999	0.999999	0.845053	0.876432	0.53854900000000006	0.857716	0.498352	0.999999	0.465435
0.987826	0.98258	0.985707	0.979615	0.999999	0.800266	0.832868	0.525901	0.808991	0.485885	0.999999	0.390794
0.999999	0.999999	0.999998	0.999998	0.999999	0.864866	0.857044	0.481024	0.83594	0.44149	0.999998	0.479085
0.874755	0.87469	0.855826	0.855656	0.999999	0.665026	0.870914	0.578622	0.851504	0.538353	0.999999	0.476821
