truX	popX	slmX	stdX	glmX	gctX	truN	popN	slmN	stdN	glmN	gctN
0.955004	0.999999	0.94746	0.999999	0.999999	0.773759	0.684438	0.575533	0.648238	0.535492	0.999999	0.373665
0.71896	0.680429	0.684899	0.644446	0.999999	0.530231	0.718044	0.544538	0.683921	0.504399	0.999999	0.442289
0.999998	0.999998	0.999998	0.999998	0.999998	0.9755	0.698459	0.595365	0.663078	0.555806	0.999999	0.453195
0.452169	0.501323	0.41221	0.460518	0.585	0.412859	0.842647	0.703393	0.81982	0.668195	0.999999	0.540197
0.999999	0.999999	0.999999	0.999999	0.999999	0.958868	0.907835	0.744631	0.893269	0.712746	0.999999	0.578746
0.823859	0.818345	0.798953	0.793008	0.999999	0.563638	0.483075	0.449892	0.442594	0.410213	0.718816	0.307142
0.999999	0.999999	0.999998	0.999998	0.999998	0.917265	0.889806	0.771133	0.872788	0.741062	0.999999	0.62059
0.999998	0.999998	0.999998	0.999998	0.999998	0.897236	0.888014	0.860968	0.870758	0.840614	0.999999	0.595513
0.946529	0.927041	0.937657	0.915212	0.999999	0.741886	0.797184	0.725805	0.769563	0.692182	0.94813	0.5554
0.999999	0.999999	0.999999	0.999999	0.999999	0.999999	0.597562	0.487619	0.557837	0.44726	0.687718	0.396641
