"lmmlite_true","lmmlite_popkin","lmmlite_std_lim_kin","lmmlite_std_kin"
1,1,0.999933893038648,1
1,1,0.999933893038648,1
1,1,0.999933893038648,1
0.752074601601033,0.694301647310018,0.720499616271644,0.794169752870407
1,1,0.999933893038648,1
0.811363751439201,0.858513850211932,0.785195084539296,0.911791436168137
0.944819934721649,0.96066231887224,0.935706949203303,1
1,1,0.999933893038648,1
0.906858513853989,1,0.892170770104006,1
0.856406657132786,0.88500318996703,0.835220657811519,0.92902471645269
0.628097722208574,0.693368823459858,0.589351847542251,0.793801327763006
1,1,0.999933893038648,1
1,1,0.999933893038648,1
1,1,0.999933893038648,1
1,0.992030672682075,0.999933893038648,1
0.798357360546112,0.835654647547898,0.770885886519952,0.896416774010986
0.83061603990218,0.897779564919819,0.806486729463675,0.93740831464709
1,1,0.999933893038648,1
0.985692626520478,0.934905282933198,0.98320528169416,0.960600513262218
0.697928737707168,0.824700423047898,0.662563642941564,0.888987365554079
0.877535989256931,0.880944552110696,0.858948089135103,0.926293245157411
1,1,0.999933893038648,1
0.789089481852967,0.890737315926598,0.760735395462132,0.932715024426661
1,1,0.999933893038648,1
1,1,0.999933893038648,1
0.756106730225968,0.807339776145501,0.724875549575514,0.877049584548122
0.941485612035111,0.996564314203503,0.931857780422215,1
1,0.984971885836231,0.999933893038648,0.991094872423251
1,1,0.999933893038648,1
0.773371291993029,0.852704805422098,0.743587806737674,0.907735624611969
1,0.96599865408817,0.999933893038648,1
1,1,0.999933893038648,1
0.704365135715129,0.764349480216747,0.669404411195276,0.846677530006506
0.902244724888325,0.938471173527608,0.886905898630927,1
0.676658233068145,0.722717620097285,0.640077143512583,0.815775465147473
0.864981335199982,0.880566567540172,0.844797406733766,0.926151726727744
0.904145893090334,0.967080163533452,0.889066643796186,1
1,1,0.999933893038648,1
0.996092507205502,0.934380168493577,0.995412773995914,0.960311413127865
1,1,0.999933893038648,1
1,0.969992868273724,0.999933893038648,0.982106071247321
0.449068810828904,0.671439254972801,0.409204526615897,0.776859534268248
1,0.990687821873724,0.999933893038648,1
1,0.979382286292519,0.999933893038648,0.987795543304675
0.332570563080198,0.502238798431357,0.297466346350068,0.631826515055274
0.844777634911361,0.871982886396217,0.822241231365133,0.920414839902469
1,1,0.999933893038648,0.999933893038648
0.896882233428903,0.92591427890666,0.880819621890881,0.955144179057222
0.98318416388218,0.988355176547358,0.980273525634054,0.993113364674395
0.881059741696971,0.919704971995942,0.862923978310133,0.951138514685542
